"spp","x","y","dbh","ht"
"Ii",17.41,187.37,49.08,20.98
"Mm",15.93,183.55,15.11,15.06
"Kk",1.17,200.57,15.27,14.24
"Ff",1.34,202.7,15.26,14.44
"Ff",2.99,204.18,13.39,13.21
"Mm",4.82,205.11,15.41,13.64
"Nn",0.65,205.92,11.51,11.78
"Ee",1.47,209.81,13.3,12.91
"Mm",4.05,209.31,12.53,11.13
"Cc",4.67,207.11,19.41,17.09
"Aa",4.78,205.64,15.87,13.88
"Ff",6.09,206.48,22.97,16.18
"Aa",8.77,204.63,11.75,11.47
"Gg",4.8,199.97,16.18,14.69
"Bb",6.44,200.83,13.18,14.27
"Aa",6.96,204.58,24.77,18.25
"Aa",9.86,201.55,19.16,15.04
"Ii",6.87,202.89,12.95,12.89
"Cc",1.91,212.49,24.91,18.07
"Ii",1.45,212.94,11.43,11.34
"Mm",3.48,214.87,14.81,14.8
"Ii",2.98,220.51,25.18,16.68
"Ii",4.16,215.23,10.83,11.31
"Ee",7.81,218.4,26.85,17.66
"Cc",9.72,217.27,16.06,13.18
"Nn",5.92,212.93,15.19,14.46
"Ll",7.6,212.64,17.58,15.65
"Ff",12.65,213.91,28.01,18.52
"Gg",15.18,210.33,16.84,14.48
"Aa",10.78,218.93,24.48,16.62
"Dd",13.85,218.82,24.36,17.06
"Bb",13.7,216.88,12.24,12.33
"Gg",17.11,215.61,44.27,20.89
"Ff",16.48,217.55,14.57,11.9
"Aa",19.12,214.54,36.06,20.44
"Gg",10.13,203.61,21.19,16.15
"Cc",12.39,205.47,36.99,19.21
"Bb",13.86,203.14,11.26,11.1
"Hh",13.27,203.98,16.03,13.2
"Ff",15.09,203.37,31.4,20.17
"Gg",10.11,206.81,14.27,13.06
"Oo",14.97,208.1,20.06,14.88
"Kk",18.02,205.44,35.05,18.35
"Bb",3.8,220.85,33.93,18.77
"Bb",1.22,230.09,21.57,15.4
"Gg",8.58,228.2,10.62,12.36
"Dd",7.6,225.76,16.44,15.23
"Mm",9,221.22,15.32,15.68
"Cc",11.95,232.41,11,11.5
"Ii",12.34,236.2,16.82,13.97
"Hh",16.04,239.96,19.15,15.61
"Hh",19.13,239.16,30.78,18.94
"Hh",18.94,234.3,23.9,15.95
"Ii",2.43,241.41,11.78,10.97
"Oo",3.1,248.4,15.09,13.39
"Hh",10.19,247.84,63.05,22.12
"Hh",8.19,247.17,17.12,14.12
"Bb",2.68,260.44,20.66,16.47
"Ff",2.02,260.04,17.31,13.99
"Bb",8.03,257.95,33.32,20.05
"Cc",8.77,255.55,33.76,19.18
"Bb",5.15,254.51,13.83,14.1
"Bb",8.02,252.2,13.2,12.37
"Ff",11.17,251.63,10.76,10.93
"Ll",13.35,253.67,10.4,11.13
"Gg",12.85,252.4,44.96,21.91
"Nn",12.36,256.85,11.99,14.38
"Ee",11.11,258.03,45.9,22.06
"Jj",19.68,258.8,13.06,11.79
"Kk",19.93,250.86,18.35,15.47
"Kk",10.44,245.88,13.4,13.59
"Hh",10.67,249.96,19.38,15.72
"Jj",15.95,247.94,24.17,17.12
"Bb",15.46,248.73,27.28,19.16
"Ff",18.88,250.22,27.5,19.21
"Aa",17.64,240.93,17.94,16.26
"Kk",17.07,241.45,39.34,20.1
"Jj",18.7,240.29,20.07,15
"Cc",4.83,264.83,30.42,18.87
"Ee",9.54,267.16,21.71,16.83
"Dd",10.02,267.18,13.87,13.99
"Aa",9.69,267.17,17.39,13.36
"Bb",5.52,261.99,41.28,19.44
"Hh",8.61,264.46,12.27,11.39
"Ff",1.2,269.98,23.1,17.61
"Aa",2.55,274.2,31.11,20.18
"Mm",3.23,272.38,10.98,11.83
"Ii",9.08,271.4,12.19,12.33
"Aa",10.53,275.15,11.66,11.89
"Ee",13.37,278.19,11.94,12.58
"Oo",12.07,277.79,11.17,11.64
"Bb",11.69,277.67,47.98,20.97
"Ii",15.18,278.68,28.77,20.37
"Pp",18.61,270.47,23.9,18.02
"Aa",12.76,264.21,20.44,15.8
"Kk",14.47,268.91,13.07,12.64
"Hh",19.03,265.37,31,20.32
"Nn",1.05,282.19,30.47,18.95
"Gg",3.88,279.24,28.83,19.29
"Aa",0.14,286.21,32.74,20.11
"Ff",5.71,288.22,17.32,16.5
"Oo",6.52,283.62,24.22,17.16
"Ff",6.49,283.5,25.95,16.64
"Cc",9.46,281.69,22.02,17.29
"Dd",9.67,280.98,30.55,18.08
"Cc",0.91,290.42,18.67,17.19
"Cc",4.84,294.67,12.37,12.8
"Gg",4.37,292.32,47.82,21.26
"Cc",2.53,298.94,16.04,14.68
"Jj",2.72,294.78,12.27,12.2
"Gg",3.96,298.93,19.43,16.91
"Dd",9.34,299.73,19.65,14.47
"Ii",5.65,295.56,35.53,20.28
"Oo",8.38,293.61,19.75,15.48
"Hh",12.7,293.91,18.68,15.02
"Cc",14.87,292.97,21.3,14.93
"Jj",12.46,291.34,13.29,12.34
"Nn",12.68,290.66,29.52,17.37
"Aa",13,296.08,15.56,13.7
"Pp",12.47,296.81,20.39,16.85
"Jj",15.11,290.44,16.87,15.03
"Dd",15.03,293.96,50.62,22.09
"Mm",17.54,292.46,16.07,14.67
"Cc",19.69,293.46,15.26,14.33
"Nn",14.87,288.83,25.54,17.04
"Ff",15.5,285.71,14.89,14.21
"Ii",4.35,300.79,26.99,17.1
"Ss",0.91,302.35,30.47,16.6
"Aa",1.64,303.54,24.02,19
"Gg",1.79,306.01,21.61,19.07
"Ll",4.36,304.69,21.19,16.89
"Oo",1.29,309.02,13.23,11.72
"Gg",2.61,308.11,31.24,17.63
"Rr",4.38,306.33,12.25,12.27
"Ff",7.87,309.62,29.27,19.62
"Hh",9.77,305.54,14.55,13.37
"Ff",9.37,301.09,16.33,14.53
"Dd",0,310.95,20.92,17.24
"Cc",2.21,319.31,17.1,13.92
"Dd",3.08,319.93,22.47,15.23
"Mm",3.05,315.54,12.9,12
"Dd",7.36,315.5,18.44,16.41
"Jj",8.69,315.43,12.33,11.46
"Cc",9.91,311.58,19.83,15.5
"Bb",14.68,312.1,23.12,18.82
"Rr",11.84,317.36,14.54,13.31
"Nn",13.23,316.59,15.04,13.69
"Cc",14.39,317.35,12.93,13.08
"Bb",14.49,319.8,32.13,19.72
"Ee",14.25,316.3,13.11,12.7
"Ll",17.45,316.55,24.86,17.55
"Bb",18.57,317.76,11.84,12.07
"Bb",18.87,317.03,10.12,10.25
"Ii",18.62,311.83,22.15,15.77
"Dd",17.59,312.29,16.89,15.5
"Ff",11.48,300.86,22.81,14.64
"Aa",9.43,302.94,11.05,11.92
"Dd",14.84,300.58,15.26,12.7
"Cc",11,305.06,13.1,13.5
"Ff",12.06,306.71,12.88,13.8
"Gg",14.5,308.87,12.34,11.63
"Nn",13.46,308.21,21.56,16.92
"Ff",18.72,308.46,14.31,12.13
"Dd",19.21,306.05,49.97,20.36
"Bb",0.26,326.01,13.84,12.76
"Aa",5.06,327.23,17.09,12.56
"Ii",8.45,330.01,21.27,16.23
"Gg",9.59,323.07,14.24,14.08
"Bb",6.42,320.24,13.58,12.92
"Hh",0.1,330.86,10.38,11.91
"Ii",0.24,330.95,34.08,19.24
"Kk",0.38,332.59,52.46,22.74
"Dd",4.48,335.05,11.32,12.69
"Mm",2.09,337.05,17.35,14.03
"Kk",8.93,339.35,12.04,11.56
"Ii",7.69,339.69,13.37,12.7
"Aa",8.8,336.02,23.82,16.82
"Aa",8.41,335.31,13.48,13.68
"Jj",12.23,334.19,16.84,14.72
"Dd",12.51,335.7,10.31,11.92
"Kk",12.27,335.41,15.64,16.57
"Hh",13.89,339,14.2,13.47
"Ff",15.48,339.42,19.21,16.67
"Aa",18.89,339.56,37.5,20.3
"Jj",17.22,336.17,11.59,12.42
"Dd",15.61,333.8,21.78,15.89
"Aa",17.62,330.87,19.87,17.08
"Hh",10.32,320.86,14.24,13.16
"Cc",10.97,322.52,11.26,11.95
"Kk",10.74,322.66,34.6,19.52
"Kk",10.99,329.27,12.26,11.99
"Ll",11.49,329.62,14.63,12.67
"Ee",12.29,328.02,11.07,11.52
"Ee",13.76,328.68,62.38,22.16
"Ii",15.82,327.86,17.81,15.61
"Ee",20.39,324.15,12.35,12.41
"Ee",4.89,343.54,48.14,21.15
"Ff",3.69,345.92,10.55,10.94
"Aa",1.74,350.19,26.02,18.74
"Ff",0.8,356,26.4,19.5
"Cc",6.46,356.93,17.07,15.12
"Jj",5.98,358.85,46.72,22.54
"Hh",3.92,350.95,10.27,9.83
"Jj",9.79,353.72,36.5,19.7
"Ee",10.49,352.36,11.1,11.46
"Ii",10,351.48,14.89,12.87
"Ll",11.96,350.34,13.93,13.54
"Hh",9.65,356.05,10.66,11.01
"Ll",14.38,354.21,17.77,16.42
"Aa",14.68,359.32,12.8,12.59
"Aa",19.47,356.69,14.62,14
"Aa",19.04,356.15,14.82,13.05
"Gg",18.06,354.25,21.16,16.49
"Jj",12.3,341.57,11.95,11.87
"Ll",12.92,345.6,12.43,13.2
"Dd",11.11,348.19,18.2,14.86
"Cc",14.47,346.89,10.21,10.45
"Hh",15.05,347.28,19.05,14.96
"Aa",19.58,346.63,11.39,11.6
"Dd",19.94,346.14,14.2,13.55
"Jj",4.34,361.18,12.78,11.8
"Hh",3.32,365.14,14.14,13.56
"Ff",8.84,366.51,22.89,15.57
"Gg",4.56,374.42,21.29,15.43
"Bb",4.05,373.43,15.41,13.7
"Ff",8.49,377.45,21.39,18.63
"Ii",7.3,371.18,33.87,17.55
"Aa",14.37,371.68,14.52,13.19
"Bb",13.82,372.66,13.02,14.24
"Cc",13.77,373.84,20.87,15.89
"Ff",14.89,377.77,43.76,20.78
"Hh",15.05,374.95,14.25,13.73
"Aa",19.66,371.32,85.92,22.22
"Kk",14.86,366.91,24.64,16.96
"Bb",14.63,366.74,11.46,11.66
"Ii",16.38,366.19,37.84,21.05
"Cc",19.18,366.25,15.01,15.3
"Gg",17.38,364.61,16.11,14.81
"Ff",2.87,389.45,32.44,19.35
"Jj",7.73,388.15,19.23,16.52
"Ff",7.18,382.83,31.59,17.95
"Gg",6.94,383.12,13.61,12.34
"Ii",5.31,390.29,39.48,19.93
"Kk",5.54,391.41,51.16,21.04
"Ll",4.64,390.56,44.55,20.66
"Aa",9.44,391.84,25.91,18.98
"Cc",15.03,397.73,24.82,16.45
"Bb",16.72,394.85,57.64,22.19
"Ii",18.14,395.45,14.28,13.14
"Ii",14.72,390.6,10.11,11.24
"Ff",13.57,380.73,12.48,12.98
"Cc",10.96,388.74,12.49,12.05
"Ee",19,380.35,16.7,15.51
"Jj",1.03,416.71,12.17,12.45
"Cc",5.31,417.22,34.42,19.27
"Gg",12.31,416,11.41,11.45
"Nn",18.21,414.86,17.35,15.57
"Ff",16.84,407.58,28.06,20.11
"Gg",19.65,401.48,15.36,13.82
"Dd",1.24,430.81,15.07,13.72
"Ii",3.16,427.6,25.21,20.24
"Ee",8.04,427.39,21.46,17.42
"Bb",7.06,425.26,31.01,17.97
"Hh",9.71,421.81,28.65,19.18
"Bb",3.34,431.67,10.39,10.68
"Ee",2.87,431.14,93.11,24.01
"Ii",2.24,435.38,10.21,10.52
"Aa",6.8,437.86,41.36,21.15
"Nn",9.6,434.1,16.91,14.83
"Dd",9.71,431.82,31.61,18.33
"Ll",6.5,433.24,19.8,15.89
"Kk",15.11,431.72,26.19,19.42
"Aa",12.68,433.63,12.52,13.22
"Gg",14.6,435.31,25.41,16.55
"Ii",10.7,436.31,32.87,17.98
"Ll",14.7,438.97,28.98,18.94
"Dd",16.91,437.87,13.1,12.19
"Aa",19.38,437.23,17.08,16.1
"Aa",17.34,432.9,12.37,12.26
"Ee",11.33,424.31,37.48,19.62
"Dd",11.78,426.09,11.79,12.84
"Dd",13.92,427.49,11.34,11.74
"Oo",0.05,443.8,23.9,18.51
"Rr",2.72,445.24,25.05,18.89
"Cc",2.01,445.78,46.89,22.27
"Ii",6.6,445.47,20.35,16.05
"Gg",6.06,447.42,20.84,16.53
"Aa",7,449.1,27.09,18.69
"Ee",8.2,445.73,47.07,21.72
"Cc",8.76,442.42,20.1,16.16
"Gg",5.32,442.06,15.8,14.28
"Ee",1.93,455.17,13.98,13.26
"Ii",2.35,455.1,17.37,14.92
"Ff",10.62,453.48,14.65,14.2
"Gg",10.1,455.49,14.93,14.24
"Hh",11.05,454.65,17.12,14.22
"Aa",13.46,455.49,11.23,11.24
"Nn",15.52,456.28,15.01,13.18
"Jj",19.42,457.13,12.63,13.74
"Cc",18.95,455.86,13.41,13.44
"Kk",17.12,454.77,11.31,12.11
"Ee",14.99,444.43,19.47,16.59
"Bb",12.11,447.25,15.19,13.87
"Bb",13.11,448.55,16.9,13.9
"Cc",13.45,447.71,19.81,17.58
"Cc",14.78,449.94,10.57,11.08
"Dd",13.97,448.29,12.46,12.96
"Dd",15.54,446.33,17,15.4
"Dd",19.37,448.69,24.94,17.4
"Dd",19.93,446.55,18.67,16.54
"Aa",1.51,464.4,11.05,12.18
"Kk",6.69,469.15,14.45,13.01
"Dd",9.25,464.98,56.37,19.82
"Cc",10.24,461.03,12.46,12.52
"Kk",6.83,460.79,20.97,16.77
"Jj",1.27,471.24,69.54,21.77
"Dd",4.08,478.79,29.51,20.36
"Ee",8.89,474.37,22.2,16.97
"Aa",13.65,474.22,15.83,15.38
"Ff",14.97,474.52,74.76,21.71
"Bb",14.41,478.58,14.56,14.63
"Nn",18.29,475.51,17.77,15.16
"Ii",17.13,475.15,25.3,18.07
"Kk",12.58,461.22,19.06,15.41
"Gg",11.75,460.71,41.23,23.01
"Ii",12.72,463.9,33.78,17.85
"Mm",11.84,465.87,26.95,17.9
"Oo",16.56,469.74,25.43,18.08
"Pp",16.36,468.52,19.72,16.1
"Ii",18.66,468.29,16.94,14.99
"Hh",18.1,463.34,13.28,13.58
"Hh",19.76,463.07,19.02,14.63
"Cc",1.09,483.38,17.23,14.52
"Hh",0.66,489.86,21.63,16.38
"Jj",4.41,489.1,15.01,14.08
"Aa",6.92,489.52,31.13,18.48
"Hh",9.01,481.59,13.4,12.93
"Ii",7.15,483.27,18.83,15
"Aa",8.74,499.43,28.14,18.12
"Aa",8.29,496.58,28.7,17.56
"Bb",14.62,496.29,12.85,12.12
"Hh",15.39,489.82,20.45,18.03
"Bb",15.34,491.74,12.99,12.3
"Aa",10.47,482.12,15.53,14.23
"Ff",12.07,484.24,52.17,21.73
"Ff",12.85,484.35,15.46,14.14
"Hh",13.58,484.09,31.88,18.73
"Ii",19.62,483.53,26.37,19.35
"Ff",17.43,482.87,16.53,14.91
"Dd",16.61,483.06,20.22,16.31
"Kk",20.22,3.6,27.4,18.15
"Ll",20.1,5.14,11.9,12.89
"Kk",22.28,2.29,14.27,13.73
"Dd",22,6.72,12.9,13.2
"Cc",23.34,6.94,11.79,11.25
"Cc",26.05,5.32,28.17,19.81
"Dd",26.73,8.78,24.48,18.33
"Hh",27.27,5.79,12.05,12.16
"Ff",25.89,2.3,14.51,13.79
"Hh",24.1,2.08,10.57,11.97
"Aa",23.01,13.73,22.1,15.74
"Jj",24.37,16.48,18.97,16.11
"Bb",23.76,15.15,16.74,14.93
"Dd",25.78,15.51,12.71,13.51
"Aa",27.58,16.91,14.94,12.96
"Aa",26.79,17.19,18.27,14.91
"Kk",26.8,17.28,20.14,15.85
"Bb",27.84,14.09,18.07,15.73
"Dd",29.88,19.66,13.99,13.42
"Ii",31.01,9.83,18.72,15.11
"Ff",29.87,14.13,16.98,15.65
"Ff",30.76,16.22,17,15.82
"Ee",30.03,17.95,11.29,10.75
"Gg",31.8,16.5,15.62,14.39
"Ii",35.3,16.7,27.9,18.29
"Kk",35.22,18.91,41.7,22.38
"Kk",37.02,19.49,15.7,15.13
"Gg",35.62,18.62,13.13,12.58
"Cc",35.84,14.3,11.46,11
"Ll",37.65,13.97,12.29,12.45
"Cc",31.47,2.6,17.7,15.2
"Bb",33.23,2.55,20.37,16.29
"Dd",34.56,1.59,31.92,19.68
"Hh",32.7,1.27,39.14,23.19
"Nn",30.45,8.92,16.24,14.79
"Bb",34,7.61,11.76,13.39
"Cc",34.95,4.49,16.55,15.28
"Bb",34.98,6.1,13.57,13.7
"Cc",35.85,6.65,14.33,12.85
"Oo",36.56,8.97,37.22,20.16
"Ii",37.08,9.15,16.71,15.46
"Ll",36.16,0.13,21.27,16.76
"Aa",36.46,1.36,10.95,11.43
"Jj",36.87,1.89,21.59,16.47
"Bb",37.53,1.2,11.14,12.63
"Oo",21.46,22.34,26.24,19.47
"Aa",23.9,21.96,10.46,10.62
"Cc",22.31,21.12,13.98,12.71
"Ii",22.42,27.2,21.22,16.77
"Dd",23.96,28.53,24.12,16.75
"Jj",23.8,25.52,24.3,17.65
"Aa",25.23,28.42,13.32,12.19
"Dd",28,26.16,11.59,11.62
"Cc",26.64,29.89,13.99,13.7
"Tt",27.07,21.03,16.75,14.1
"Cc",27.62,23.49,15.53,13.83
"Ll",22.36,32.28,13.37,12.06
"Aa",22.39,31.92,10.32,11.07
"Cc",22.88,32.21,13.32,11.49
"Nn",24.21,33.63,25.09,17.73
"Ff",23.59,34.55,18.55,15.87
"Ee",22.01,36.86,14.14,14.18
"Bb",22.39,38.71,17.18,14.5
"Ll",22.51,39.39,20.84,15.75
"Dd",22.75,38.82,21.87,17.95
"Dd",23.31,38.24,19.67,16.82
"Dd",25.64,36.94,22.84,15.85
"Ii",27.66,38.19,19.4,16.08
"Cc",31.33,33.85,19.67,17.21
"Pp",30.16,34.81,26.81,17.33
